platform,id,text,screen_name,name,is_verified,account_type,date,retweets,favorites,replies,quotes,views,url,sentiment,emotion,valence,framing
Dalam dinamika internal PBNU yang kini sudah kembali berdamai, isu tambang disinyalir menjadi salah satu sumber konflik. Bahkan sempat muncul pernyataan, sebenarnya PBNU ingin mengembalikan saja izin tambang ke pemerintah, tapi gak enak sama pemerintah. 

Di Muhammadiyah sendiri eksekusi tambang belum dimulai. Masih dalam tahapan menuju ke sana. Kabarnya ada banyak sekali pertimbangan untuk sampai pada tahap eksekusi. Misalnya soal AMDAL. 

Hemat saya, jika memang keputusan penerimaan izin tambang tidak bisa ditinjau kembali, namun gaspol jalan terus, maka ada satu hal yang perlu diingat. Ada ungkapan dalam bahasa Inggris, ""the devil is in the detail"". 

Saya cukup mendapatkan info menarik saat menyimak Podcast Akbar Faizal Uncensored dengan Islah Bahrawi. Dalam podcast tersebut, Islah menceritakan bahwa dia coba mempelajari detail draft kontrak tambang antara NU dengan salah satu pengusaha. 

Menurut Islah, setelah dikaji secara mendalam, banyak pasal-pasal yang merugikan NU di dalamnya. Lebih jauh Islah mengatakan bahwa tambang akan dijadikan alay sandera politik bagi PBNU. Nah di sini menurut saya ungkapan bahasa Inggris di atas relevan. The devil is in the detail. Perlu benar-benar hati-hati dalam mempelajari kontraknya. 

(Tulisan ini adalah pendapat pribadi dan tidak mewakili pandangan organisasi).",robby_karman,Robby Karman,false,publik,2026-01-10,0,4,0,0,174,https://twitter.com/robby_karman/status/2009987542813421885,skeptis,tidak_terdeteksi,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009898322673447115,"Muhammadiyah's communication is cool because it focuses on values, data, and the goals of da'wah. It's not reactive, not emotional, but focused on solutions and the common good.

Regarding comedian @pandji Mens Rea material, @Muhammadiyah also had no problem with it. https://t.co/su9r6FyhfM",bukupembaharu,Booksmu 📚,false,publik,2026-01-10,489,2880,7,10,98552,https://twitter.com/bukupembaharu/status/2009898322673447115,netral,tidak_terdeteksi,neutral,identitas_agama
twitter,2009898167312232494,"Lalu siapa yang berani mencatut nama PBNU dan Muhammadiyah untuk melaporkan Pandji terkait materi stand up comedy Mens Rea?

==
Anna Amit Shah Ciplukan Tele trila goal gak nih https://t.co/LgQ9MmJuIL",Ruq4yy4,Ruqayya,true,media,2026-01-10,4,19,11,1,941,https://twitter.com/Ruq4yy4/status/2009898167312232494,skeptis,tidak_terdeteksi,neutral,seni_kebebasan|identitas_agama
twitter,2009890987091599827,Muhammadiyah Tegaskan Pelaporan Pandji Pragiwaksono karena Materi Mens Rea Bukan Sikap Resmi Organisasi https://t.co/Ybxtnspt1f https://t.co/4WTlbpLa8D,hypekompascom,Hype Kompas.com,false,publik,2026-01-10,0,0,0,0,101,https://twitter.com/hypekompascom/status/2009890987091599827,skeptis,kelegaan,positive,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009887790549610651,"Kalo pake logika hukum digital, Pandji bkn creator dlm narasi-narasi ironinya di Mens Rea.

Kalo kutipan narasi yg dia sampaikan salah, tinggal tunjukin aja bener apa ngga Gibran mukanya ngantukan; bnr apa ngga org NU-Muhammadiyah ini ga punya kepentingan politik; bnr apa ngga NU-Muhammadiyah ini ga dpt konsesi tambang HGU atau kursi jabatan?

Kalo terbukti yg disampaikan salah, baru deh tersinggung. Tp ga perlu pidana, Pandji cuma menyampaikan perasaannya, ekspresinya, dan data yg dia baca jg dia ingat. Ini bentuk kebebasan berekspresi, tdk membahayakan. Juga ada jalan namanya restorative justice.

Pls belajar yg bnr uuuu @DivHumas_Polri",lnddwrhy,linda dr,true,publik,2026-01-10,55,295,4,3,45162,https://twitter.com/lnddwrhy/status/2009887790549610651,pro_pandji,tidak_terdeteksi,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009880296427270451,"Tanya dulu Pak Polisi
Kapolri @ListyoSigitP
Dan @DivHumas_Polri
Dari Unsur Mana dan Ormas Apa Yg Melaporkan PANDJI Dgn Mens rea nya ?

Krn Ormas Muhammadiyah dan Ormas NU nyatakan tdk ada mengadukan Pandji.

Lalu siapa itu yg jual2 nama Ormas ?
Tangkap !

https://t.co/jIV8kKYRED",ahadnet392613,KasihanRakyat,false,publik,2026-01-10,0,0,0,0,34,https://twitter.com/ahadnet392613/status/2009880296427270451,netral,tidak_terdeteksi,neutral,hukum_pidana|identitas_agama
twitter,2009869164899656181,"Mens Rea by Pandji, seru.

Lebih seru lagi adalah PBNU tegaskan Aliansi Muda NU, yg melaporkan Pandji ke polisi, ternyata bukan bagian dari NU.

Seru, seru.

https://t.co/eNzhiK8PRl",lyndaibrahim,Lynda Ibrahim,false,publik,2026-01-10,0,0,0,0,251,https://twitter.com/lyndaibrahim/status/2009869164899656181,skeptis,ejekan_ironi,positive,hukum_pidana|identitas_agama
twitter,2009852704596599122,"Muhammadiyah menganggap materi stand up comedy Pandji dalam 'Mens Rea' yang menyinggung soal tambang sebagai kritik yang membangun.

https://t.co/AOH7bY9KM8",detikcom,detikcom,true,media,2026-01-10,1,4,0,0,2966,https://twitter.com/detikcom/status/2009852704596599122,netral,tidak_terdeteksi,neutral,seni_kebebasan|identitas_agama
twitter,2009841219065786541,"PP Muhammadiyah-PBNU Kompak Bantah Laporkan Pandji Pragiwaksono Soal Mens Rea 
https://t.co/Gjmon3W0Jn",netralnews,NETRALNEWS,false,publik,2026-01-10,0,0,0,0,44,https://twitter.com/netralnews/status/2009841219065786541,skeptis,kelegaan,positive,identitas_agama
twitter,2009824612004311518,"DI BALIK LAYAR “SANG PELAPOR” PANDJI

Mengatasnamakan angkatan muda NU? PREETTT.

Nama yang muncul: Rizki Abdurrahman Wahid. Tapi siapa sebenarnya dia?

Mari kita bongkar pelan-pelan.

[Error, DMnya, Mens Rea, Pagiii, Budiman Sujatmiko, Mens Rea ] https://t.co/EwLjxehh7u",bung_madin,Bung Madin,false,publik,2026-01-10,4,12,1,0,7539,https://twitter.com/bung_madin/status/2009824612004311518,skeptis,kemarahan,negative,identitas_agama
twitter,2009807409741733946,"Komika Pandji Pragiwaksono dilaporkan ke Polda Metro Jaya oleh Angkatan Muda Nahdlatul Ulama bersama Aliansi Muda Muhammadiyah terrkait materi komedi dalam pertunjukan tunggalnya berjudul “Mens Rea”.

Saat ini, Pandji diketahui sedang berada di New York, Amerika Serikat.
Melalui unggahan di akun Instagram pribadinya pada Jumat (9/1/2026) waktu Indonesia, Pandji menyampaikan bahwa kondisinya dalam keadaan aman dan baik.

“Semua baik-baik saja. Malam ini saya akan makan bersama keluarga,” ujar Pandji.

Pihak kepolisian menyatakan akan lebih dulu melakukan klarifikasi dengan memeriksa pihak terlapor sebelum melangkah ke tahap selanjutnya. Selain itu, saksi-saksi serta barang bukti dari pelapor.

#Berita #PoldaMetroJaya #PandjiPragiwaksono #Mensrea #Viral #standupcomedy #pandjipragiwaksono #kritik",RadioElshinta,Radio Elshinta,true,media,2026-01-10,4,14,1,2,2009,https://twitter.com/RadioElshinta/status/2009807409741733946,netral,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009803928062570604,"Pandji Pragiwaksono Kabarkan Kondisinya usai Dipolisikan karena Mens Rea: Gue Happy & Baik-baik Saja

https://t.co/IbmgLXm6In, JAKARTA - Sadar diriya jadi sorotan usai ramai dipolisikan karena materi pertunjukan stand up comedy bertajuk Mens Rea, Komika Pandji Pragiwaksono muncul. 
Pandji muncul mengabarkan kondisinya saat ini. 

Diketahui, Mens Rea yang dibawakannya cukup menghebohkan publik dan berujung laporan polisi. 
Ia dilaporkan atas dugaan penistaan agama oleh Angkatan Muda Nahdlatul Ulama (NU) bersama Aliansi Muda Muhammadiyah.
Bagaimana kabar komedian sekaligus aktor Pandji Pragiwaksono terkini? 

Saat di tanah air materi stand up Mens Rea membuat heboh, Pandji Pragiwaksono kabarkan dirinya sedang tidak di Indonesia. 
Bintang film Mendarat Darurat itu mengaku melalui instagram story di akunnya ungkap bahwa dirinya saat ini tidak berada di Tanah Air. 

Ia menyebut sedang berada di New York dan terlihat santai tanpa menunjukkan tekanan atas polemik yang berkembang.
“Gue lagi di New York. Semoga lo sehat, lo baik-baik saja,” kata Pandji Pragiwaksono dikutip https://t.co/UusWryBYsz, Jumat (9/1/2026).
Saat kondisinya baik-baik saja, tak lupa Pandji mengucap syukur dan terimakasih karena menerima banyak doa serta dukungan.

“Gue cuma mau bilang terima kasih untuk doanya, dukungannya,"" bebernya.
""Banyak banget yang doain yang baik-baik ke gue. Gue juga baik-baik saja,” ujar Pandji.
Ayah dua anak itu turut menyampaikan apresiasi kepada para penonton yang tetap menghargai karya stand up comedy yang ia bawakan. 

#Pandjipragiwaksoni #Mensrea #Polisi #Trending #Beritaterkini

Sumber : https://t.co/MXBWmFBDP6",DewataModerat_,Dewata Moderat,true,media,2026-01-10,0,0,0,0,120041,https://twitter.com/DewataModerat_/status/2009803928062570604,anti_pandji,kelegaan,positive,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009637661280248075,"Pimpinan Pusat Pemuda Muhammadiyah menegaskan tidak terlibat dalam pelaporan komika Pandji Pragiwaksono ke kepolisian.

Ketua Umum Pemuda Muhammadiyah Dzulfikar Ahmad Tawalla, menyatakan bahwa kelompok yang menggunakan nama Aliansi Muda Muhammadiyah bukanlah bagian dari struktur resmi Muhammadiyah.

Dzulfikar menekankan bahwa organisasi tidak keberatan selama pelaporan tidak mengatasnamakan Pemuda Muhammadiyah.

""Kalau mengatasnamakan siapa saja orang kalau alumni Muhammadiyah (bisa saja). Tapi kalau ortom, enggak, enggak. Kita tidak tahu, kita bukan bagian dari yang melapor itu,"" kata Dzulfikar, Jumat (9/1/2026).

Sebelumnya, Pandji Pragiwaksono resmi dilaporkan ke Polda Metro Jaya terkait dugaan pencemaran nama baik buntut materi stand up comedy yang ia bawakan dalam acara Mens Rea.

https://t.co/bdFTEemghw

Editor: Syifa Asha Wijayanti
Naskah: Rafika

#PemudaMuhammadiyah #PandjiPragiwaksono #PoldaMetroJaya #PencemaranNamaBaik #StandUpComedy #MensRea #OrganisasiMasyarakat #IsuHukum #BeritaNasional #SINDOnews",SINDOnews,SINDOnews,true,media,2026-01-09,0,0,0,0,263,https://twitter.com/SINDOnews/status/2009637661280248075,skeptis,kelegaan,positive,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009622436652945740,"Komika Pandji Pragiwaksono membagikan kondisi terkininya usai dilaporkan imbas materi stand up comedy, Mens Rea. Dalam unggahan terbarunya, ia mengungkap kondisinya yang kini berada di New York, Amerika Serikat. 

Pandji mengatakan dirinya baik-baik saja dan mendapat banyak dukungan dari masyarakat Indonesia. ""Terima kasih dukungannya, doanya, banyak banget yang doain baik-baik ke gua. Gue baik-baik saja di New York, abis ngisi siaran dan sekarang mau balik ke rumah,"" jelas Pandji di Instagram-nya @pandjipragiwaksono, Jumat (9/1/2026).

Pandji mengucapkan banyak terima kasih atas dukungan yang diberikan masyarakat Tanah Air untuk dirinya. Ia juga tak membahas perihal dirinya yang dilaporkan imbas stand up comedy-nya tersebut.

""Semoga lo juga sehat dan baik-baik saja. Terima kasih sudah mencintai kesenian stand up comedy,"" ucap Pandji.

Sekadar informasi, Pandji dilaporkan oleh Angkatan Muda Nahdlatul Ulama dan Aliansi Muda Muhammadiyah. Kedua organisasi itu melaporkan sang komika atas kasus dugaan penghasutan dan penistaan agama ke Polda Metro Jaya dengan nomor register LP/B/166/I/2026/SPKT/POLDA METRO JAYA, pada 8 Januari 2026.

Baca Selengkapnya di
https://t.co/qBT7CBtNt7

Editor: Syifa Asha Wijayanti
Naskah: Yova

#PandjiPragiwaksono #ResponsPandji #MensRea #UpdatePandji #UpdateKasusPandji #NewYork #SINDONews",SINDOnews,SINDOnews,true,media,2026-01-09,0,3,1,0,673,https://twitter.com/SINDOnews/status/2009622436652945740,anti_pandji,kelegaan,positive,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009616130139382223,"Polda Metro Jaya mengusut laporan yang dilayangkan terhadap komika Pandji Pragiwaksono terkait materi stand up comedy dalam pertunjukan Mens Rea. 

Polisi telah mengantongi tiga barang bukti yang diserahkan pelapor. Laporan itu dilayangkan kelompok yang mengatasnamakan Angkatan Muda Nahdlatul Ulama (NU) dan Aliansi Muda Muhammadiyah.

""Barang bukti yang diberikan kepada penyelidik pada saat yang bersangkutan membuat laporan,"" ujar Kasubbid Penmas Bid Humas Polda Metro Jaya Kombes Reonald Simanjuntak kepada wartawan, Jumat (9/1/2026). 

Ketiga bukti yang telah dikantongi yakni flashdisk berisi rekaman pernyataan Pandji dalam Mens Rea, screen capture, hingga dokumen.

Baca selengkapnya: https://t.co/lrrQLe4Miy 

#StandUp #MensRea #PandjiPragiwaksono #Polisi #BeritaHariIni #iNews",officialinews_,iNews,true,media,2026-01-09,0,0,0,0,174,https://twitter.com/officialinews_/status/2009616130139382223,skeptis,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009614886318293309,"Ketua Lembaga Bantuan Hukum dan Advokasi Publik Pimpinan Pusat Muhammadiyah, Taufiq Nugroho, menegaskan bahwa Muhammadiyah memandang kritik sebagai bagian dari upaya membangun.

Pernyataan tersebut disampaikan Taufiq menanggapi pernyataan komika Pandji Pragiwaksono yang menyinggung isu Muhammadiyah menerima izin konsesi tambang.

Taufiq menyebut, meskipun Pandji sempat menyinggung soal izin tambang, hal itu tetap dianggap sebagai kritik yang membangun.

Ia menegaskan bahwa Muhammadiyah tidak merasa tersinggung dengan pernyataan tersebut.

Terkait izin usaha pertambangan, Taufiq menjelaskan bahwa hingga saat ini Muhammadiyah belum menerima izin tambang seperti yang dijanjikan pemerintah.

Ia menegaskan fakta tersebut untuk meluruskan berbagai asumsi yang beredar di ruang publik.

Taufiq juga menanggapi pemberitaan soal pelaporan Pandji ke Polda Metro Jaya oleh pihak yang mengatasnamakan Angkatan Muda NU dan Aliansi Muda Muhammadiyah.

Ia menegaskan bahwa pelaporan tersebut bukan merupakan sikap resmi Muhammadiyah.

Menurutnya, tidak ada perintah atau keputusan dari Pimpinan Pusat Muhammadiyah untuk melaporkan Pandji ke kepolisian.

Taufiq bahkan menegaskan bahwa dalam struktur organisasi Muhammadiyah tidak dikenal entitas bernama Aliansi Muda Muhammadiyah.

Ia menduga ada pihak tertentu yang memanfaatkan nama besar Muhammadiyah untuk kepentingan pribadi atau kelompok.

Sebelumnya, Pandji Pragiwaksono dilaporkan ke Polda Metro Jaya terkait materi komedi bertajuk Mens Rea.

Laporan tersebut dilayangkan pada 7 Januari 2026 dengan dugaan pencemaran nama baik.

Pelapor menilai materi komedi Pandji menimbulkan kegaduhan dan berpotensi memecah belah masyarakat.

Muhammadiyah menegaskan komitmennya untuk menjaga ruang kritik yang sehat dalam kehidupan demokrasi.
.
.

Selengkapnya di Melihat Indonesia

#muhammadiyah #pandjipragiwaksono #tambang #kritik",Melihat_Indo,Melihat Indonesia,true,media,2026-01-09,2,1,0,0,108,https://twitter.com/Melihat_Indo/status/2009614886318293309,skeptis,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009606078435377359,"Guru Besar Fakultas Hukum Universitas Islam Indonesia, Mahfud MD, menilai materi stand up comedy berjudul Mens Rea yang dibawakan Pandji Pragiwaksono tidak dapat dipidana berdasarkan Kitab Undang-Undang Hukum Pidana yang baru.

Mahfud menyatakan, meskipun materi tersebut dianggap menghina Wakil Presiden Gibran Rakabuming, kasus Pandji tidak memenuhi unsur pidana dalam KUHP yang berlaku saat ini.

Ia menjelaskan bahwa KUHP baru mulai berlaku pada 2 Januari 2026.

Sementara itu, Mahfud menegaskan bahwa materi Mens Rea disampaikan Pandji pada Desember 2025 dan hanya ditayangkan pada Januari 2026.

Menurut Mahfud, penilaian hukum pidana didasarkan pada waktu terjadinya perbuatan, bukan waktu penayangan.

Dengan demikian, peristiwa hukum dalam kasus Pandji terjadi sebelum KUHP baru berlaku.

Mahfud menilai hal tersebut menjadi alasan kuat bahwa Pandji tidak dapat dijerat hukum pidana.

Ia bahkan meminta Pandji tidak khawatir dan menyatakan siap memberikan pembelaan jika diperlukan.

Sebelumnya, Pandji Pragiwaksono dilaporkan ke Polda Metro Jaya oleh kelompok yang mengatasnamakan Angkatan Muda Nahdlatul Ulama dan Aliansi Muda Muhammadiyah.

Laporan tersebut terkait dugaan pencemaran nama baik atas materi komedi Mens Rea.

Pelapor menilai materi tersebut menghina, menimbulkan kegaduhan, serta berpotensi memecah belah masyarakat.

Kasus ini kemudian memicu perdebatan publik terkait batas antara kritik, satire, dan penghinaan dalam hukum pidana Indonesia.
.
.
Selengkapnya di Melihat Indonesia

#mahfudmd #pandjipragiwaksono #MensRea #KUHPBaru",Melihat_Indo,Melihat Indonesia,true,media,2026-01-09,0,0,0,0,181,https://twitter.com/Melihat_Indo/status/2009606078435377359,skeptis,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009586675882889353,"Sikap Muhammadiyah jelas tidak mempermasalahkan materi stand up Mens Rea Pandji 
https://t.co/HYVrkHvjxz",bukupembaharu,Booksmu 📚,false,publik,2026-01-09,1,4,1,0,317,https://twitter.com/bukupembaharu/status/2009586675882889353,netral,tidak_terdeteksi,neutral,seni_kebebasan|identitas_agama
twitter,2009584933195645143,"Komika Pandji Pragiwaksono dilaporkan ke Polda Metro Jaya atas dugaan penghasutan di muka umum dan dugaan penistaan agama terkait materi stand up comedy dalam show bertajuk Mens Rea. Pelapor mengatasnamakan diri sebagai Angkatan Muda Nahdlatul Ulama dan Aliansi Muda Muhammadiyah.

Apa alasan Pandji dilaporkan? Dan bagaimana sikap dari PP Muhammadiyah serta Pengurus Besar Nahdlatul Ulama terkait kasus pelaporan ini? Geser slide sampai habis untuk penjelasan selengkapnya.

| Narasi Daily",NarasiNewsroom,Narasi Newsroom,true,media,2026-01-09,28,128,28,0,7322,https://twitter.com/NarasiNewsroom/status/2009584933195645143,skeptis,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009581584324956418,"Rizki Abdul Rahman Wahid yang mengatasnamakan Presidium Angkatan Muda NU mengaku melaporkan Pandji Pragiwaksono ke Polda Metro Jaya pada Rabu 7 Januari 2026 terkait materi stand up comedy Mens Rea yang menyinggung konsesi tambang.

#PBNU #GusUlil #PandjiPragiwaksono",alineadotid,Alineadotid,false,publik,2026-01-09,0,0,0,0,189,https://twitter.com/alineadotid/status/2009581584324956418,skeptis,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009581143277146120,"Pandji Pragiwaksono resmi dilaporkan ke polisi oleh pihak yang mengatasnamakan Angkatan Muda NU dan Aliansi Pemuda Muhammadiyah.

​Laporan ini buntut dari materi komedi dalam tayangan ""Mens Rea"" yang dinilai merendahkan. Polisi menyebut rekaman tayangan itu menjadi barang bukti dugaan penistaan agama.

Namun, Pengurus Besar Nadhlatul Ulama (PBNU) dan Pimpinan Pusat (PP) Muhammadiyah sama-sama menyatakan pelapor bukan bagian resmi dan tak mempresentasikan sikap organisasi.

Gimana menurut kalian?

#PandjiPragiwakosono #MensRea #NU #Muhammadiyah #Polisi #FGMedia #FGNewsUpdate",officialfgmedia,FG Media Official,true,media,2026-01-09,0,0,0,0,112,https://twitter.com/officialfgmedia/status/2009581143277146120,skeptis,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009580177291120763,@chocowildberry @TJ_kreem @iPopBase itu kak ada pendemo mengatasnamakan aliansi muda NU dan Aliansi Muda Muhammadiyah buat nuntut acara mens rea - pandji yang tayang di Aplikasi Netflix. nah dari NU dan Muhammadiyah tidak mengakui aliansi tersebut yg sedang berdemo.,rolliepollied,cathy,false,publik,2026-01-09,1,3,0,0,135,https://twitter.com/rolliepollied/status/2009580177291120763,skeptis,tidak_terdeteksi,neutral,seni_kebebasan|identitas_agama
twitter,2009574617715970313,"Polda Metro Jaya mulai menindaklanjuti laporan dugaan penistaan agama yang menyeret komika Pandji Pragiwaksono terkait materi stand up comedy bertajuk Mens Rea. Kepolisian memastikan proses penyelidikan akan dilakukan secara profesional dan transparan.

Kasubbid Penmas Bidhumas Polda Metro Jaya, Kombes Reonald Simanjuntak, menyatakan penyelidik akan memanggil sejumlah pihak untuk dimintai klarifikasi dalam tahap awal penanganan perkara.

""Penyelidik akan melakukan klarifikasi kepada masing-masing yang bersangkutan. Baik Pelapor, Saksi, maupun Saudara Terlapor,"" ujar Kasubbid Penmas Bidhumas Polda Metro Jaya Kombes Reonald Simanjuntak kepada wartawan, Jumat (9/1/2026).

Ia menjelaskan, pemeriksaan saat ini difokuskan terlebih dahulu kepada pelapor dan saksi-saksi yang diajukan. Selain itu, penyidik juga akan menelaah barang bukti yang telah diserahkan, termasuk rekaman materi Mens Rea yang tersimpan dalam flashdisk.

""Nanti kalau nanti hasilnya akan dilakukan gelar perkara, apakah ada unsur pidana atau tidak, nanti kita akan lihat dari hasil penyelidikan,"" ucap reonald.

Reonald menegaskan seluruh proses penanganan laporan akan berjalan sesuai ketentuan hukum yang berlaku.

""Setiap penyelidikan mengenai tindak pidana yang dilakukan oleh jajaran Reserse Polda Metro Jaya dijamin pasti akan profesional, transparan, dan akuntabel,"" terang dia.

Laporan terhadap Pandji diketahui dilayangkan oleh Angkatan Muda Nahdlatul Ulama (NU) bersama Aliansi Muda Muhammadiyah. Pelapor menilai materi yang disampaikan dalam pertunjukan tersebut berpotensi menimbulkan kegaduhan serta memicu perpecahan di tengah masyarakat.

Pandji dilaporkan dengan sangkaan Pasal 300 dan/atau Pasal 301 KUHP serta Pasal 242 dan/atau Pasal 243 KUHP. Laporan itu tercatat dengan nomor LP/B/166/I/2026/SPKT/POLDA METRO JAYA tertanggal 8 Januari 2026.

""Tentang dugaan penghasutan di muka umum dan dugaan penistaan agama berkaitan dengan pernyataan dalam sebuah acara bertajuk 'Mens Rea',"" kata Kabid Humas Polda Metro Jaya Kombes Budi Hermanto, Kamis 8 Januari 2026.
.
.

Selengkapnya di Melihat Indonesia

#poldametrojaya #pandjipragiwaksono #mensrea",Melihat_Indo,Melihat Indonesia,true,media,2026-01-09,0,1,0,0,156,https://twitter.com/Melihat_Indo/status/2009574617715970313,anti_pandji,informatif,neutral,hukum_pidana|seni_kebebasan|identitas_agama
twitter,2009572403102532061,"Ketua Pengurus Besar Nahdlatul Ulama (PBNU) KH Ulil Abshar Abdalla menegaskan, aliansi yang mengatasnamakan Angkatan Muda Nahdlatul Ulama yang melaporkan komika Pandji Pragiwaksono ke Polda Metro Jaya bukan bagian dari PBNU.

Komika Pandji Pragiwaksono dilaporkan ke Polda Metro Jaya terkait dugaan penghasutan di muka umum dan penistaan agama karena materi pertunjukan komedi tunggalnya (stand-up comedy) yang berjudul Mens Rea. Laporan itu teregister dengan nomor LP/B/166/I/2026/SPKT/POLDA METRO JAYA tertanggal 8 Januari 2026.

Gus Ulil mengatakan, tidak ada lembaga, badan otonom NU, maupun perkumpulan NU yang bernama Angkatan Muda NU.

""Kalau representasi PBNU jelas tidak,"" kata Gus Ulil dikutip dari media resmi PBNU, NU Online, Jumat (9/1).

📸: Dok. LTN PBNU.

Baca selengkapnya dengan klik link di bio. Cari tahu berita update lainnya dengan download aplikasi kumparan di App Store atau Google Play.⁠

